Наруто Узумаки; Узумаки; Деревня Скрытого Листа, Гора Мьёбоку, Союзные Силы Шиноби, Джинчуурики; Хокаге
Асума Сарутоби; Сарутоби; Деревня Скрытого Листа; Шиноби
Бивако Сарутоби; Сарутоби; Деревня Скрытого Листа; Ниндзя-медик
Куренай Юхи; Сарутоби; Деревня Скрытого Листа; Шиноби
Рок Ли; ; Деревня Скрытого Листа, Союзные Силы Шиноби; Шиноби
Майто Гай; ; Деревня Скрытого Листа, Союзные Силы Шиноби; Шиноби
Неджи Хьюга; Хьюга; Деревня Скрытого Листа, Союзные Силы Шиноби; Шиноби
Ханаби Хьюга; Хьюга; Деревня Скрытого Листа; Шиноби
Хиаши Хьюга; Хьюга; Деревня Скрытого Листа, Союзные Силы Шиноби; Глава Клана Хьюга
Шисуи Учиха; Учиха; Деревня Скрытого Листа; Шиноби
Мадара Учиха; Учиха; Деревня Скрытого Листа, Акацуки, Джинчуурики; Сооснователь Деревни Скрытого Листа, Глава Клана Учиха(Ранее)
Изуна Учиха; Учиха; ; Шиноби
Фугаку Учиха; Учиха; Деревня Скрытого Листа; Глава Военной Полиции Конохи
Микото Учиха; Учиха; Деревня Скрытого Листа; Домохозяйка
Джирайя; ; Деревня Скрытого Листа, Гора Мьёбоку; Писатель
Дейдара; ; Деревня Скрытого Камня; Акацуки; Нинздя-отступник; Ниндзя-наёмник
Конан; ; Деревня Скрытого Дождя, Акацуки; Глава Деревни
Яхико; ; Деревня Скрытого Дождя, Акацуки; Основатель и лидер Акацуки
Какузу; ; Деревня Скрытого Водопада, Акацуки; Казначей Акацуки, Нинздя-отступник
Кисаме Хошигаки; Хошигаки; Деревня Скрытого Тумана, Акацуки, Семь Шиноби-Мечников Тумана; Нинздя-отступник
Орочимару; ; Деревня Скрытого Листа, Деревня Скрытого Песка, Деревня Скрытого Звука, Акацуки, Корень, Пещера Рьючи; Нинздя-отступник, Основатель и лидер Отокагуре, Учёный
Сасори; ; Деревня Скрытого Песка, Акацуки; Нинздя-отступник
Хидан; ; Деревня Скрытого Горячего Источника, Акацуки; Ниндзя-отступник
Суйгецу Хозуки; Хозуки; Деревня Скрытого Звука, Деревня Скрытого Тумана, Акацуки; Ниндзя-отступник
Мангецу Хозуки; Хозуки; Деревня Скрытого Тумана, Семь Шиноби-Мечников Тумана; Шиноби
Генгецу Хозуки; Хозуки; Деревня Скрытого Тумана; Мизукаге
Ягура Каратачи; ; Деревня Скрытого Тумана, Джинчуурики; Мизукаге
Мей Теруми; ; Деревня Скрытого Тумана, Союзные Силы Шиноби; Мизукаге
Чоуджуро; ; Деревня Скрытого Тумана, Союзные Силы Шиноби, Семь Шиноби-Мечников Тумана; Мизукаге
Амеюри Ринго; ; Деревня Скрытой Травы, Семь Шиноби-Мечников Тумана; Шиноби
Джинин Акибино; ; Деревня Скрытого Тумана; Шиноби
Джинпачи Мунаши; ; Деревня Скрытого Тумана, Семь Шиноби-Мечников Тумана; 
Джузо Бива; ; Деревня Скрытого Тумана, Акацуки, Семь Шиноби-Мечников Тумана; Ниндзя-отступник
Забуза Момочи; ; Деревня Скрытого Тумана, Семь Шиноби-Мечников Тумана; Ниндзя-отступник, Ниндзя-наёмник
Кушимару Куриараре; ; Деревня Скрытого Тумана, Семь Шиноби-Мечников Тумана; Шиноби
Райга Куросуки; ; Деревня Скрытого Тумана, Семь Шиноби-Мечников Тумана; Шиноби, Анбу, Глава Семьи Куросуки
Фугуки Суйказан; ; Деревня Скрытого Тумана, Семь Шиноби-Мечников Тумана; Шиноби
Кабуто Якуши; ; Деревня Скрытого Листа, Деревня Скрытого Звука, Акацуки, Пещера Рьючи, Корень; Ниндзя-отступник, Ниндзя-медик, Анбу, Попечитель Детского дома Конохи
Сай; Яманака; Деревня Скрытого Листа, Союзные Силы Шиноби, Корень; Шиноби, Анбу, Проктор Экзаменов на Чуунина, Глава Анбу
Ноно Якуши; ; Деревня Скрытого Листа, Корень; Смотритель Детского дома Конохи
Торуне Абураме; Абураме; Деревня Скрытого Листа, Корень; Анбу
Шин; ; Деревня Скрытого Листа, Корень; Анбу
Ямато; ; Деревня Скрытого Листа, Союзные Силы Шиноби, Корень; Анбу
Ино Яманака; Яманака; Деревня Скрытого Листа, Союзные Силы Шиноби; Ниндзя-медик
Иноичи Яманака; Яманака; Деревня Скрытого Листа, Союзные Силы Шиноби; Глава клана Яманака, Командир Группы Анализа, Капитан Дивизии Разведки Союзных Сил Шиноби
Фуу Яманака; Яманака; Деревня Скрытого Листа, Корень; Анбу
Тацума Абураме; Абураме; Деревня Скрытого Листа, Корень; Анбу
Шиби Абураме; Абураме; Деревня Скрытого Листа, Союзные Силы Шиноби; Глава Клана Абураме
Шино Абураме; Абураме; Деревня Скрытого Листа, Союзные Силы Шиноби; Учитель в Академии
Чоуджи Акимичи; Акимичи; Деревня Скрытого Листа, Союзные Силы Шиноби; Шиноби
Акимичи Чоуза; Акимичи; Деревня Скрытого Листа, Союзные Силы Шиноби; Шиноби, Глава Клана Акимичи
Каруи Акимичи; Акимичи; Деревня Скрытого Листа, Деревня Скрытого Облака, Союзные Силы Шиноби; Шиноби
Данзо Шимура; ; Деревня Скрытого Листа, Корень; Лидер Корня, Кандидат на должность Шестого Хокаге
Асура Ооцуцуки; Ооцуцуки; ; Мудрец
Индра Ооцуцуки; Ооцуцуки; ; 
Кагуя Ооцуцуки; Ооцуцуки; ; Принцесса, Глава Клана Ооцуцуки
Хамура Ооцуцуки; Ооцуцуки; ; Глава Клана Ооцуцуки
Хагоромо Ооцуцуки; Ооцуцуки; Гора Мьёбоку; Священник
Киба Инузука; Инузука; Деревня Скрытого Листа, Союзные Силы Шиноби; Шиноби, Собаковод, Офицер Полиции
Акамару; Инузука; Деревня Скрытого Листа, Союзные Силы Шиноби; Ниндзя-пёс
Куромару; Инузука; Деревня Скрытого Листа; 
Цуме Инузука; Инузука; Деревня Скрытого Листа; Шиноби
Трое Братьев Хаймару; Инузука; Деревня Скрытого Листа, Союзные Силы Шиноби; Ниндзя-псы
Хана Инузука; Инузука; Деревня Скрытого Листа, Союзные Силы Шиноби; Ветеринар
Джуго; ; Деревня Скрытого Звука, Акацуки; Мудрец
Рето; ; Деревня Скрытого Песка; Казекаге
Шамон; ; Деревня Скрытого Песка; Казекаге
Эй (Третий Райкаге); ; Деревня Скрытого Облака; Райкаге
Эй Би; ; Деревня Скрытого Облака, Союзные Силы Шиноби; Райкаге, Верховный Лидер Союзных Войск Шиноби
Даруи; ; Деревня Скрытого Облака, Союзные Силы Шиноби; Райкаге, Командир Первой Дивизии Союзных Сил Шиноби
Киллер Би; ; Деревня Скрытого Облака, Союзные Силы Шиноби, Джинчуурики; Защитник Скрытого Облака
Ишикава; Камизуру; Деревня Скрытого Камня; Цучикаге
Муу; ; Деревня Скрытого Камня; Цучикаге
Ооноки; Камизуру; Деревня Скрытого Камня; Цучикаге
Куроцучи; Камизуру; Деревня Скрытого Камня, Союзные Силы Шиноби; Цучикаге
Югито Нии; ; Деревня Скрытого Облака, Джинчуурики; Шиноби
Роуши; ; Деревня Скрытого Камня, Джинчуурики; 
Рин Нохара; ; Деревня Скрытого Листа, Джинчуурики; Ниндзя-медик
Хан; ; Деревня Скрытого Камня, Джинчуурики; Шиноби
Утаката; Цучигумо; Деревня Скрытого Тумана, Джинчуурики; Ниндзя-отступник
Ширанами; Цучигумо; Деревня Цучигумо; Лидер Группировки Магаки
Фуу; ; Деревня Скрытого Водопада, Джинчуурики; Шиноби
Эн но Гёджа; Цучигумо; Деревня Цучигумо; Глава Клана Цучигумо
Ханзо; ; Деревня Скрытого Дождя; Шиноби
Шизуне; ; Деревня Скрытого Листа, Союзные Силы Шиноби; Ниндзя-медик, Капитан Дивизии Тыловой Поддержки и Медицины Союзных Сил Шиноби, Ассистент Хокаге
Белый Змей-Мудрец; ; Пещера Рьючи; Мудрец
Гамамару; ; Деревня Скрытого Листа, Гора Мьёбоку; Мудрец
